Country Name,Country Code,Series,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Uganda,UGA,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.21248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,2.46167,..,..,..,4.95237,..,..,..,..,..,1.74151,2.31769,1.81216,1.88643,1.93036,2.34049,2.15536,2.27205,2.13052,..,..,..,..,..,..,..
Uganda,UGA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,56.10738,..,..,..,..,..,..,..,..,..,..,68.14251,..,..,..,71.37314,..,..,..,73.21188,..,70.19822,..,..,..,..,..,76.5275,..,..,..,..,..,..,..
Ukraine,UKR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,59686,199111,195612,183380,196226,197170,195181,184273,143343,110652,100077,101371,136260,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,112.39809,119.23935,116.73553,117.70687,118.17968,..,..,110.80636,115.32947,113.57273,113.17415,119.07674,124.92075,97.30143,96.65634,106.44252,100.08115,98.02895,96.91538,96.82164,98.81844,100.63261,100.86588,101.12182,99.04094,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,102.25285,102.72399,103.51452,103.008,102.31301,101.43736,94.02447,95.94841,96.48336,96.53471,95.55105,102.9216,98.71024,96.84757,96.46349,97.37815,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,5.45601,4.44884,3.61808,4.16623,4.68506,5.43863,5.60786,5.31351,6.06441,6.2148,6.15721,6.43621,7.31802,..,6.16237,6.69233,6.67166,5.87494,..,5.00978,5.41226,..,..,..,..,..,..,..,..
Ukraine,UKR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,99.43041,..,..,..,..,..,..,..,..,..,..,99.97435,..,..,..,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6211,5461,13541,22792,28999,28870,37100,48497,49441,..,..,..,..,..,..,..,..,15447,..,..,..,..,21919,25610,9333,446,2574,5636,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,107.33933,107.83801,102.85788,100.09402,100.34235,101.06363,98.07547,93.89538,90.36123,..,..,..,..,..,..,..,..,101.58983,..,..,..,..,99.94344,98.66689,103.07352,111.54276,108.67271,108.39706,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,95.05438,..,90.79205,91.48898,91.6945,87.46122,82.5481,83.23683,86.05045,88.28227,87.17794,85.63276,88.2926,..,88.5214,85.13991,83.04299,80.42211,85.48839,94.86522,96.49014,99.8342,105.68647,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.03385,..,..,..,..,..,..,..,..,..,93.22714,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,8857,78003,146413,..,..,..,..,..,2790,1408,1804,2917,8041,4091,26088,90,15484,95024,43699,78095,68120,70472,64029,11885,4433,2978,16211,20508,32122,..,..,..,..,..,..,..
United Kingdom,GBR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,106.8315,105.48049,104.17159,..,..,..,..,..,100.79734,100.66856,100.35872,100.22992,99.82263,99.99332,105.93517,106.38617,105.06858,103.2406,105.06189,104.25979,104.55491,104.42571,106.24608,107.112,102.25555,101.92527,101.33521,101.15456,100.99555,..,..,..,..,..,..,..
United Kingdom,GBR,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,105.23455,103.6486,101.15717,97.93366,98.10719,98.60969,99.33216,99.72757,99.80819,100.01138,100.42341,99.69623,101.33559,99.41012,97.3345,102.36324,107.28965,110.1603,107.24508,102.4793,109.82377,110.47303,110.63408,..,122.46164,118.56526,..,..,..,..,..,..,..
United Kingdom,GBR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.05552,4.12248,4.33449,..,4.85083,4.83926,4.38693,..,4.21202,3.99696,4.03119,4.11923,4.63887,4.80467,4.73879,4.93914,4.98531,4.91482,4.89331,5.07432,5.70324,5.59523,..,5.5298,5.599,5.55616,5.4267,5.44209,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135557,..,..,..,..,575132,887458,672416,611514,..,446256,88850,104711,141533,..,..,..,..,..,..,..
United States,USA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,106.03323,105.3286,..,103.89928,103.11548,104.10641,103.55983,..,102.56204,101.93083,100.72996,101.32613,99.8794,101.11396,101.24966,101.87402,102.20104,103.09321,103.23487,102.21191,100.33347,99.38988,99.16532,99.45544,99.67338,100.29991,101.36286,101.82144,101.25656,..,..,..,..,..,..,..
United States,USA,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,100.76754,102.57403,105.89842,105.39266,..,103.80017,103.33653,102.52248,103.07422,101.81632,101.73687,101.17836,100.82308,101.07075,101.81177,101.54857,101.40086,100.24587,100.30648,99.87601,99.58451,99.8482,100.5729,101.94135,102.31503,102.06858,..,..,..,..,..,..,..
United States,USA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.93105,4.96174,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Upper middle income,UMC,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,11191170,10826943,11929290,13699033,16377612,19594792,21941368,23303959,18478558,12620908,12005334,10016618,8662137,7648731,7834644,8001156,9226531,6742452,6868711,6757097,7110725,7367895,7617329,8176267,8243885,7917221,8032710,7722183,7857206,8176242,..,..,..,..,..,..
Upper middle income,UMC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,118.85173,116.86594,115.57384,114.00892,112.46733,112.33995,110.26394,107.7066,109.14415,109.54481,109.97115,112.01085,111.2483,109.97381,108.24783,106.71053,105.13692,105.50298,105.5228,105.30213,104.46448,104.64249,104.77024,103.88576,101.7473,101.74904,102.34043,102.82171,103.18752,104.12531,..,..,..,..,..,..
Upper middle income,UMC,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,77.23715,80.77953,83.99735,85.5503,85.42743,84.67071,84.50885,85.32404,86.6914,88.62606,90.81939,93.0178,95.03939,97.12269,97.58722,98.16365,98.35974,97.80946,96.67379,97.39126,95.8927,97.1164,96.58299,96.85966,98.15377,99.66778,..,..,..,..,..,..
Upper middle income,UMC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,4.21628999710084,3.98978006839753,3.95818006992341,3.8390200138092,4.01176977157593,3.82085990905762,4.02575993537902,3.98121011257172,4.1409900188446,4.22437000274658,4.63207483291626,4.54699015617371,4.49298000335693,4.42279005050659,4.58756017684937,..,..,..,..,..,..,..,..,..,..,..,..
Upper middle income,UMC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,81.57375,82.63586,83.18015,83.71357,84.2217,84.7752,85.24133,89.5247,89.92116,90.26804,90.58653,90.97035,91.19954,91.73466,92.01932,92.38861,92.65445,93.50337,93.73737,94.00576,94.14792,94.37333,94.78501,94.84182,95.25861,95.09962,95.62376,95.67085,95.45145,95.64834,..,..,..,..,..,..
Uruguay,URY,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,25022,18766,16619,21789,23587,25424,25211,..,..,..,..,..,..,..,206,197,4639,802,908,470,586,677,245,8590,41,..,857,380,..,..,..,..,..,..,..
Uruguay,URY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,108.62807,108.77645,108.98141,109.21785,108.36722,108.05717,108.13416,112.69567,111.85255,111.30073,109.04492,108.38845,110.28098,111.29171,112.83157,114.18575,115.70015,115.18192,114.49371,113.99937,112.82514,113.25496,112.01014,111.70156,111.33335,111.04048,109.70778,108.45944,106.01723,..,..,..,..,..,..,..
Uruguay,URY,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,98.63241,102.56258,..,102.35315,103.80033,109.42395,111.14743,113.45894,114.62151,111.81205,106.78373,108.60654,100.74352,107.78689,112.86809,110.83801,117.32184,117.91802,119.34966,120.43683,119.96157,123.02233,126.31079,125.94045,..,..,..,..,..,..,..
Uruguay,URY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,2.47908,2.41153,..,2.27172,2.5214,2.86987,..,2.24337,..,2.42255,2.80096,2.3222,2.06821,2.49954,2.71475,2.88026,..,..,..,..,4.35527,..,..,..,..,4.7591,4.8403,5.04759,..,..,..,..,..,..,..
Uruguay,URY,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,96.78181,..,..,..,..,..,..,..,..,..,97.78963,97.86389,98.16356,98.26723,98.07271,98.3359,98.39594,98.36387,98.43593,98.52387,98.56147,98.61572,98.70386,..,..,..,..,..,..,..
Uzbekistan,UZB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,166852,135700,144402,123898,108942,74512,50823,20871,15391,15174,16680,17322,15291,..,..,..,..,..,..
Uzbekistan,UZB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,110.76684,111.69769,104.63458,104.5761,105.96128,105.36159,100.48019,99.86552,99.07061,99.21259,99.69444,99.48242,98.43727,97.28212,96.81288,97.04586,96.20152,94.58911,93.50753,92.81301,93.93175,94.53816,96.31839,97.63628,98.47447,99.93193,101.57249,103.65492,104.23298,102.22148,..,..,..,..,..,..
Uzbekistan,UZB,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,84.23245,83.50546,98.46016,98.73124,98.36813,97.36732,96.72527,96.74056,96.34262,95.31217,95.20962,95.10763,93.99909,93.04906,92.0372,92.76528,93.04773,94.68962,95.63078,96.92569,98.69029,..,..,..,..,..,..
Uzbekistan,UZB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.09001,6.02527,5.78638,5.66773,5.28134,..,..,..,..,..,..,..,..
Uzbekistan,UZB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,98.64258,..,..,..,..,..,..,..,..,..,..,..,..,99.99486,99.98055,99.98383,99.98657,..,99.99289,..,..,..,..,..,..,..
